vessel_imo,flag,start_date,end_date
9256078,Gabon,2024-01-01,2024-04-01
9256078,Russia,2024-04-01,
9256913,Liberia,2003-12-01,2022-01-01
9256913,Cook islands,2022-01-01,
9257022,Panama,2003-10-01,2007-10-01
9257022,Singapore,2007-10-01,2014-12-01
9257022,Marshall Islands,2014-12-01,2018-03-01
9257022,Liberia,2018-03-01,2023-01-01
9257022,St.Kitts and Nevis,2023-01-01,2023-04-01
9257022,Gabon,2023-04-01,
9257137,Greece,2003-09-01,2022-01-01
9257137,Marshall Islands,2022-01-01,2022-06-01
9257137,Panama,2022-06-01,2024-03-01
9257137,Cook islands,2024-03-01,
9257814,Greece,2002-01-01,2010-04-01
9257814,Pakistan,2010-04-01,2022-12-01
9257814,Panama,2022-12-01,2023-05-01
9257814,Palau (Republic of),2023-05-01,2024-04-01
9257814,Cook islands,2024-04-01,
9257993,Liberia,2003-08-01,2021-10-01
9257993,Panama,2021-10-01,2024-04-01
9257993,Not Known,2024-04-01,2024-05-01
9257993,San Marino,2024-05-01,
9258002,Liberia,2003-10-01,2024-01-01
9258002,Russia,2024-01-01,
9258026,Panama,2003-09-01,2003-09-01
9258026,Philippines,2003-09-01,2003-09-01
9258026,Panama,2003-09-01,2013-01-01
9258026,Malta,2013-01-01,2021-09-01
9258026,Marshall Islands,2021-09-01,2023-06-01
9258026,Palau (Republic of),2023-06-01,
9258167,Liberia,2003-11-01,2024-01-01
9258167,Gabon,2024-01-01,
9258868,Isle of Man,2003-05-01,2017-09-01
9258868,Marshall Islands,2017-09-01,2021-03-01
9258868,Panama,2021-03-01,2021-04-01
9258868,Vietnam,2021-04-01,
9258870,Isle of Man,2003-07-01,2017-02-01
9258870,Malta,2017-02-01,2018-07-01
9258870,Marshall Islands,2018-07-01,2022-05-01
9258870,Panama,2022-05-01,2024-05-01
9258870,Barbados,2024-05-01,
9258882,Isle of Man,2003-12-01,2017-09-01
9258882,Marshall Islands,2017-09-01,2021-05-01
9258882,Vietnam,2021-05-01,
9259185,Cayman Islands,2002-01-01,2004-12-01
9259185,"Hong Kong, China",2004-12-01,2020-01-01
9259185,Panama,2020-01-01,2024-02-01
9259185,Comoros,2024-02-01,2024-04-01
9259185,Not Known,2024-04-01,2024-07-01
9259185,Comoros FALSE,2024-07-01,
9259197,Liberia,2002-01-01,2002-12-01
9259197,Panama,2002-12-01,2014-04-01
9259197,Marshall Islands,2014-04-01,2022-02-01
9259197,Liberia,2022-02-01,2022-11-01
9259197,Panama,2022-11-01,
9259599,Isle of Man,2003-08-01,2014-09-01
9259599,Liberia,2014-09-01,2024-04-01
9259599,Not Known,2024-04-01,
9259733,China Peoples's Republic,2004-06-01,2021-08-01
9259733,China Peoples's Republic,2021-08-01,2022-05-01
9259733,Liberia,2022-05-01,2022-10-01
9259733,Panama,2022-10-01,
9259745,China Peoples's Republic,2004-12-01,2021-08-01
9259745,China Peoples's Republic,2021-08-01,2022-08-01
